Guid,Title,Code,Author,CreatedOn,CreatedBy,UpdatedOn,UpdatedBy
77cf9dc2-8cee-4333-a41c-34039d7373d4,The Ogre's (Devil's) Heart in the Egg,302,null,,,,
77e7f43c-8ad3-46c2-b435-49d89ac4d2d5,The Borrowers,null,Mary Norton,,,,
77f79401-1db0-4b1f-8114-e5041aa33d7e,Mykyta Kozhumiaka,null,Anton Siyanika,,,,
78b58297-026c-464d-8a09-8a760ff6ac9d,The Princess Bride,null,William Goldman,,,,
7943dbc7-7395-45ed-ad7d-9b9247b90db0,Beauty and the Beast,425C,null,,,,
7a1c903a-e230-4f61-bd63-0a7aec54fca1,The Manuscript found in Saragossa,null,Jan Potocki,,,,
7a8dabeb-ed7e-4ae9-a16f-3b60097e83d9,The Swineherd,null,Hans Christian Andersen,,,,
7ad5dba9-6713-43bd-9b0e-32f48d343950,Do pivnice,null,Josef Kolber,,,,
7b49b6a6-f2ed-44d1-92ab-276482c3e72e,The Old Dog as Rescuer of the Child (Sheep),101,null,,,,
7b52ff40-4c83-4e63-bca8-e187a94807f4,"Momotaro or ""Peach Boy""",null,null,,,,
7ca4617b-7a41-4c06-8bc3-78685d2a94b3,The Dragon,null,Evgeny Schwartz,,,,
7cdaf277-88b2-4b4a-8940-37b2858ced3f,Charlie and the Chocolate Factory,null,Roald Dahl,,,,
7d0b713a-2cca-467a-a7ec-b3575ca205e8,The Remarkable Rocket,null,Oscar Wilde,,,,
7f0b9085-f86b-49d3-ad2f-6561dde3cf97,Hans My Hedgehog,441,null,,,,
7fef82cb-1840-4850-92bc-cd7ce4e16f6a,The Serpent's Crown,672,null,,,,
801d289c-7ba3-40c7-981c-33455ef26cc4,The Ordinary Miracle,null,Evgeny Schwartz,,,,
806f0ce9-8879-422d-851e-90a62f17612e,Bridge to Terabithia,null,Katherine Paterson,,,,
8099db48-aedb-47eb-b8d9-2e33e9377044,The Last Unicorn,null,Peter S. Beagle,,,,
80f418a2-b4cd-4dbf-9beb-f6412b56663d,"Bird, Horse and Princess",550,null,,,,
80ffb204-338e-40fa-9b8f-771edfcaab6f,My Sassy Girl (엽기적인 그녀),null,Ho-sik Kim,,,,
81969007-7a95-4611-9bd4-295cac82e8f3,null,null,Stephen King,,,,
