FilmGuid,CountryGuid
058a4649-e266-43e5-ba1f-b7df9247171c,71eb741f-7b0b-4741-8b71-0835756a5a29
058c1e25-ed67-4e77-97ca-3102109aede6,bd238c01-9393-400a-b2ce-34cec2576594
059b96de-3b72-4888-980c-6755218d2196,bd238c01-9393-400a-b2ce-34cec2576594
059cfb7d-7278-4a44-86a4-b63931e7bc76,ad7de1da-f3ee-429c-92fe-98835ac1b310
05a79044-9bc3-4915-9d89-b09a9de85ca9,29b1ba8a-81e7-476c-ac38-5ee5a7d56283
05a79044-9bc3-4915-9d89-b09a9de85ca9,3ba1fc8f-967e-4165-a9b8-8d202b0e3bfe
05a7a3d1-7c6c-47f8-998e-e3b8c5197310,71eb741f-7b0b-4741-8b71-0835756a5a29
05b0219a-5db8-40ad-9e60-36ed393d43a3,1df5bb02-a84a-41f6-b2d7-50a2bb7a819d
05b6e329-bc84-4595-9507-d4299cb24171,71eb741f-7b0b-4741-8b71-0835756a5a29
05c153f9-b082-4af5-b7c2-c7ba7c7681e1,bd238c01-9393-400a-b2ce-34cec2576594
05d15c32-75a0-43ab-a56c-3647bf4bea7c,38be140e-0c4e-4032-acf0-1dffd14fdcbe
05d15c32-75a0-43ab-a56c-3647bf4bea7c,bd238c01-9393-400a-b2ce-34cec2576594
05da94cc-1be8-4f0b-87f5-15b1e7d4ea6c,bd238c01-9393-400a-b2ce-34cec2576594
0616d809-6eee-45a1-92eb-087873405182,bd238c01-9393-400a-b2ce-34cec2576594
061700a1-e44c-419d-baa5-95acd1ea2b73,3ba1fc8f-967e-4165-a9b8-8d202b0e3bfe
062bd8eb-af0b-4f7f-8dbc-8d621182acfd,ec90da5d-ec9e-4550-a428-fb919a5b9126
0648472b-c7eb-4ea7-a60e-7718cf0e829a,bd238c01-9393-400a-b2ce-34cec2576594
0653970b-9b95-4bad-ba4a-60a93adf77f8,3ba1fc8f-967e-4165-a9b8-8d202b0e3bfe
06712ab8-1110-40e2-8db9-7677965bd346,a3dd26b7-6955-46c8-846c-ef76047af098
0676095c-e283-422b-9dea-f639db39859f,e3ac0e2d-c468-489d-829e-d277bca57bfd
06807932-aff6-45b4-a397-5d8a134d3efd,5998b5fc-e307-4f14-850a-836e280d7ddb
06807932-aff6-45b4-a397-5d8a134d3efd,71eb741f-7b0b-4741-8b71-0835756a5a29
068e05b6-907c-4b66-a226-7ecdc264ee13,10e1a5c8-8620-49e2-9b14-5e08477952f8
068e05b6-907c-4b66-a226-7ecdc264ee13,bd238c01-9393-400a-b2ce-34cec2576594
06c17917-236f-4a09-97da-6796fdd52884,3ba1fc8f-967e-4165-a9b8-8d202b0e3bfe
06c5e952-ceb0-4613-8b95-0f6eb01f88cb,7b2c792f-e311-4c9d-b0e2-71ae7a090233
06d248e3-8ae3-4cfe-9792-974e8f34b2fc,bd238c01-9393-400a-b2ce-34cec2576594
06d37862-302b-4b34-abce-a9ba52c88081,38be140e-0c4e-4032-acf0-1dffd14fdcbe
06d72807-4a1e-46cc-ae91-d6df4069fac3,e3ac0e2d-c468-489d-829e-d277bca57bfd
06dad814-7b8c-485f-8806-6cc204abcf62,bd238c01-9393-400a-b2ce-34cec2576594
06e27b64-234d-40d5-95ba-496ddcd44175,3ba1fc8f-967e-4165-a9b8-8d202b0e3bfe
06ffa9ce-c18b-434f-9e92-71c8c000af90,bd238c01-9393-400a-b2ce-34cec2576594
07073296-3b75-47aa-95c9-97de0287ae39,bd238c01-9393-400a-b2ce-34cec2576594
071c6ac6-4083-47a1-9187-d17932656397,a3dd26b7-6955-46c8-846c-ef76047af098
0732de8b-fa0b-48e2-8351-66033d3f7617,10e1a5c8-8620-49e2-9b14-5e08477952f8
0732de8b-fa0b-48e2-8351-66033d3f7617,bd238c01-9393-400a-b2ce-34cec2576594
073c3774-ee10-432a-ad0a-a115317cf26f,bd238c01-9393-400a-b2ce-34cec2576594
0740b7a0-20aa-4351-8828-102b3f1826a1,bd238c01-9393-400a-b2ce-34cec2576594
07462411-932c-40e2-aead-47d678647faa,1cad40f1-6a3a-4e4c-8921-77a700bd5557
0757a40e-9e56-4339-b97f-3e5991d207dd,bd238c01-9393-400a-b2ce-34cec2576594
0757f0d2-fa53-4e2e-8878-b22621ac903a,054fd4a5-1131-4095-8f12-9f6096c3f46c
077b7bb1-77c4-40ca-8518-78831a4ede60,4369790b-e933-4388-97c1-319c6dd56bf5
07929fce-f380-4cda-86bb-4f53f968992d,ffab6e8c-4dd4-4bcc-ad22-bc46d5c14080
07a9d54f-591c-4435-a0c8-c44406556245,1df5bb02-a84a-41f6-b2d7-50a2bb7a819d
07a9d54f-591c-4435-a0c8-c44406556245,ffeaefaa-1324-4c0f-826a-d5641d9734e8
07aa9814-bbf5-4ebd-a249-2d063519d44a,7b2c792f-e311-4c9d-b0e2-71ae7a090233
07b0d164-2d97-4ff4-9d07-2fbfed2472ac,bd238c01-9393-400a-b2ce-34cec2576594
07b4fed9-9b92-40d1-9037-8223d6db57d8,bd238c01-9393-400a-b2ce-34cec2576594
07c9f07a-aac3-414b-8f8b-b01dd83d6315,10e1a5c8-8620-49e2-9b14-5e08477952f8
07c9f07a-aac3-414b-8f8b-b01dd83d6315,38be140e-0c4e-4032-acf0-1dffd14fdcbe
07c9f07a-aac3-414b-8f8b-b01dd83d6315,bd238c01-9393-400a-b2ce-34cec2576594
07d02e73-6209-4841-ac2d-849f8c073dd6,a3dd26b7-6955-46c8-846c-ef76047af098
07d0e909-9ac1-4d1b-b879-384868f0a273,bd238c01-9393-400a-b2ce-34cec2576594
07d56152-f57e-4d10-833a-cc749bf96bc0,bd238c01-9393-400a-b2ce-34cec2576594
07dc0971-36e2-4650-8c52-65c71abb0ec7,bd238c01-9393-400a-b2ce-34cec2576594
07f3180d-923b-42ef-ae5b-5fdd29734824,bd238c01-9393-400a-b2ce-34cec2576594
07fd9f78-bed7-4dfe-bdf4-e86c9c237d15,0772ec2d-5cc7-4db9-8aef-40250b4e0b3f
080f175f-922c-463d-8498-34d9380479cf,054fd4a5-1131-4095-8f12-9f6096c3f46c
08121b24-2caf-4624-8dac-3df3b01e4480,a3f48d3d-ec6e-47c1-aec5-322b525a24d4
0815ec6b-6c87-4639-a3a4-a668183770a2,aee86263-6898-469a-a84e-d8cdfc511ead
08224604-5f68-413e-b2cc-2595f7d3febc,bd238c01-9393-400a-b2ce-34cec2576594
082ef3ec-f2a4-4fb3-a50e-c569c55f686e,1cad40f1-6a3a-4e4c-8921-77a700bd5557
08301f2d-999d-4b3e-84f5-a4db68305628,da00d41f-bdd3-48c5-915c-e9029ed7ddb5
083d5fae-6c74-4d5c-8bd5-557130594ed3,e3ac0e2d-c468-489d-829e-d277bca57bfd
08476a5b-b59a-442c-85da-6e44973a3ad2,a3f48d3d-ec6e-47c1-aec5-322b525a24d4
085047f6-acb3-4631-ba46-8f3cb6a0efe8,7b2c792f-e311-4c9d-b0e2-71ae7a090233
08538ada-045b-4163-881c-b9ade05b2dc4,bd238c01-9393-400a-b2ce-34cec2576594
0855d39e-9d09-4635-8e3b-ab9e23674c45,bd238c01-9393-400a-b2ce-34cec2576594
0856dec1-b26c-4094-ad7c-7fff2873d392,aee86263-6898-469a-a84e-d8cdfc511ead
086186b1-480e-4d12-b2b8-2050640dfeae,bd238c01-9393-400a-b2ce-34cec2576594
087f8bff-3e82-4996-8327-dafb144680e6,bd238c01-9393-400a-b2ce-34cec2576594
088c11cf-f0e4-48cc-a03b-0a2573e19c3c,a3dd26b7-6955-46c8-846c-ef76047af098
08a7c623-fdc0-451c-99ad-f47e0e571b4a,ffab6e8c-4dd4-4bcc-ad22-bc46d5c14080
08cc0ffc-0aba-4ab6-83e7-a3059b5dbf23,7b2c792f-e311-4c9d-b0e2-71ae7a090233
08cc0ffc-0aba-4ab6-83e7-a3059b5dbf23,a3f48d3d-ec6e-47c1-aec5-322b525a24d4
08eae1b9-9c6a-41fe-8fbd-4d615e5a39e7,054fd4a5-1131-4095-8f12-9f6096c3f46c
08eddedc-b039-4be2-a65f-b364aab6a080,054fd4a5-1131-4095-8f12-9f6096c3f46c
08f1936a-413b-4e6a-a195-c4f1638db7e2,7b2c792f-e311-4c9d-b0e2-71ae7a090233
08fe5ea8-5a10-4f7c-a2ef-28afbb873628,1c469209-af07-4583-b485-8b67b49caf70
09164319-c084-4b7c-b738-68e698cd1bb6,bd238c01-9393-400a-b2ce-34cec2576594
091ba8a6-ec4e-4359-bc10-9a7a94bc410a,5998b5fc-e307-4f14-850a-836e280d7ddb
091bffe1-99a8-4998-9717-13bb0c4ec2a9,0772ec2d-5cc7-4db9-8aef-40250b4e0b3f
091bffe1-99a8-4998-9717-13bb0c4ec2a9,1df5bb02-a84a-41f6-b2d7-50a2bb7a819d
091bffe1-99a8-4998-9717-13bb0c4ec2a9,1e3d53e5-64e7-438d-95ac-4f3b6ddb99fe
091bffe1-99a8-4998-9717-13bb0c4ec2a9,3d244541-21c2-4fef-91b3-6fb25b769f40
091bffe1-99a8-4998-9717-13bb0c4ec2a9,e3ac0e2d-c468-489d-829e-d277bca57bfd
