FilmGuid,OriginGuid
0a8c19bd-ef47-45ae-9871-1c772bb00caf,c7d600dc-8aae-4b43-9272-760fae6c72c8
0a8c83e6-1c7f-4efe-bc25-5e8480d1b4ed,640ff5f6-c924-4484-811a-93df1f274cc9
0a965d3a-9326-4614-a471-d6e40a358c2d,c29da24a-aa6b-4c32-bef8-8fcb970c47b3
0a9a59e2-ce6c-47da-a4b5-42b1062ef251,b5f24c2f-60b1-4a00-98c8-c025702f1644
0aad3344-f3d6-4a48-ad88-cca15777c73b,080f84f2-06fd-4c35-87f7-17827e3b04a1
0aad3344-f3d6-4a48-ad88-cca15777c73b,b595ab89-f7cc-4a96-b19c-d87dc8689c89
0acb9e15-3401-4976-9e1a-5c979537351b,2d645b0c-5c86-4ca6-9b35-8e7fecf04fdf
0acb9e15-3401-4976-9e1a-5c979537351b,82961c9c-621d-484b-a662-70f7eac7d370
0ad5ad2b-feb6-47b4-be1f-01a27eca6826,22696324-bb0d-45a4-8201-26ea3bbe9fdc
0ad5ad2b-feb6-47b4-be1f-01a27eca6826,23ba372a-af2d-440f-b8ef-794ef52aa077
0ad5ad2b-feb6-47b4-be1f-01a27eca6826,e941b227-e695-4638-b86d-172090dc29df
0ae023cd-38ab-42c8-896b-0f2283d95f78,cce29796-6f71-4a60-bba2-58a4a1fd922a
0ae870e4-9aa9-4283-8ae1-fd50f35e2fa9,92e8b438-8846-449c-ac25-b0b56f348abc
0aea298f-a952-4760-88b3-fa78e81a7f17,2bd46c51-f41b-4c6e-a55d-d4371f495117
0af1849c-b870-49db-8519-8a3c445552de,d0afac79-d069-449f-abb6-c18974f09fba
0b097030-e4fa-4bdf-a90b-26a99f99efc9,640ff5f6-c924-4484-811a-93df1f274cc9
0b153f7d-504e-4ff9-a015-b167a706b654,640ff5f6-c924-4484-811a-93df1f274cc9
0b1dbf9c-046d-46ee-b8dd-e21c405177ae,5e30830f-1a0b-4983-9ffd-39cd4239b236
0b20ca12-bb2e-424f-84fd-b4d9d125e856,39a06e4a-d409-47fc-890f-3100b6861f45
0b20ca12-bb2e-424f-84fd-b4d9d125e856,728ba25f-56f0-49c7-aad3-cee18e334c2b
0b2a855f-86c3-4c13-86da-13baf5ec83b4,7943dbc7-7395-45ed-ad7d-9b9247b90db0
0b3320e5-3a57-4f00-ae0f-46fa89449a73,b1af9d74-2781-4547-8454-6f1f793fb60b
0b4f09e8-6f72-4a11-a837-f9ea21bfc38d,71c3836d-c92c-4a50-ab85-87c986635583
0b5acbe3-2166-4c92-a47f-5a0bc87f1864,2f091f27-e43b-43ff-8d25-9edbd3a1c2fe
0b732368-d692-45f3-9d3e-0b67a0cbaf01,2d645b0c-5c86-4ca6-9b35-8e7fecf04fdf
0b7ab598-2796-401a-885a-fd4a8259fb3b,04fb07ec-2e11-42ea-96ce-6537bfdfb5d8
0b7e004e-76cb-4392-a6a4-ad33b37c898d,bc62358e-434a-4b1e-b09d-72e879f7e685
0ba71a02-d3be-48af-b365-54ac0187b4be,8d62ed42-8920-427e-bdcd-b5ad58e3dcb6
0bc76472-2f5b-40c2-a4f2-d81b8e9b15c9,1d4b523b-3d81-4a6a-bf18-28d1f4010425
0bcbabc7-76ff-4975-be73-dfb9664a3df4,cce29796-6f71-4a60-bba2-58a4a1fd922a
0bcd5b6a-c948-4ea1-b559-036cd83983b9,2cd79a7f-97d7-4335-b032-40e87299c155
0bd73220-004f-4b86-af75-890e198fd731,d0afac79-d069-449f-abb6-c18974f09fba
0bf92032-2cce-49cf-8fc0-6ca4e39ab320,2dcf225e-f8fd-4b69-8bba-c07674f80ede
0bf92032-2cce-49cf-8fc0-6ca4e39ab320,8e1b01ba-6b90-4731-99a2-ddfbfd622059
0c0310b5-7384-479d-acbd-d802c3992952,cce29796-6f71-4a60-bba2-58a4a1fd922a
0c03d0c7-0610-408e-af29-de2f79077e59,0e513df6-e201-4874-867f-249debc40d50
