CompanyId,FilmId
520,1306
211,1307
520,1307
211,1308
520,1308
211,1309
520,1309
520,1310
520,1311
520,1312
520,1313
520,1314
520,1315
520,1316
123,1317
123,1318
521,1319
521,1320
521,1321
521,1322
521,1323
320,1325
320,1326
320,1327
320,1328
808,1329
809,1330
320,1331
320,1332
320,1334
320,1335
320,1336
320,1337
320,1338
320,1339
320,1340
320,1341
320,1342
320,1343
320,1344
320,1345
377,1346
810,1349
424,1350
800,1350
424,1351
800,1351
424,1352
800,1352
424,1353
800,1353
424,1354
800,1354
424,1355
800,1355
424,1356
800,1356
424,1357
800,1357
424,1358
800,1358
424,1359
800,1359
424,1360
800,1360
424,1361
800,1361
424,1362
800,1362
424,1363
800,1363
424,1364
800,1364
424,1365
800,1365
424,1366
800,1366
424,1367
800,1367
424,1368
800,1368
424,1369
800,1369
424,1370
800,1370
424,1371
800,1371
424,1372
800,1372
424,1373
800,1373
424,1374
800,1374
424,1375
800,1375
424,1376
800,1376
424,1377
800,1377
424,1378
800,1378
424,1379
800,1379
424,1380
800,1380
424,1381
800,1381
424,1382
800,1382
424,1383
800,1383
424,1384
800,1384
424,1385
800,1385
424,1386
800,1386
424,1387
800,1387
424,1388
800,1388
723,1389
811,1389
2430,1389
2431,1389
2432,1389
424,1390
800,1390
424,1391
800,1391
424,1392
800,1392
424,1393
800,1393
424,1394
800,1394
424,1395
800,1395
424,1396
800,1396
424,1397
800,1397
424,1398
800,1398
424,1399
800,1399
424,1400
800,1400
424,1401
800,1401
424,1402
800,1402
424,1403
800,1403
424,1405
800,1405
188,1406
424,1407
800,1407
424,1408
800,1408
