FilmID,PersonID,RoleID
160,703,54
160,703,55
160,703,56
162,237,52
162,237,54
162,237,56
162,260,52
162,260,54
162,260,56
162,323,56
162,324,56
162,332,57
162,496,55
162,753,55
163,263,52
163,421,54
163,754,52
163,7332,56
164,263,52
164,758,52
164,1944,56
164,1945,57
164,3377,55
164,3378,55
164,3379,55
164,20496,56
164,20497,54
164,20498,57
164,20499,58
164,20500,58
165,350,57
165,759,54
165,760,52
165,760,56
165,761,55
165,762,55
165,25592,54
166,218,52
166,218,54
166,218,56
167,763,52
167,764,56
167,765,57
168,766,52
168,767,56
168,768,56
168,1085,57
168,25868,55
168,25869,55
168,25870,54
169,320,54
169,769,52
169,769,56
169,770,57
169,771,55
169,772,55
169,773,55
169,1285,55
169,1286,55
170,769,52
170,774,55
170,775,55
171,495,55
171,776,52
171,776,54
171,776,56
171,777,57
171,778,58
171,779,55
172,776,52
172,776,56
172,777,57
172,778,58
172,780,54
172,781,54
172,782,55
172,783,55
172,784,55
173,785,52
173,785,55
173,786,56
173,787,57
173,788,58
173,789,54
173,790,55
174,791,52
174,791,56
175,792,52
175,792,56
176,794,52
176,19245,52
176,19245,56
178,795,58
178,796,52
178,796,54
178,796,56
178,797,57
178,798,55
178,799,55
179,800,52
179,800,54
179,800,56
179,801,58
179,802,57
179,803,54
179,804,55
179,805,55
180,806,58
180,807,56
180,808,52
180,809,57
180,810,54
180,811,55
180,812,55
181,798,55
181,806,58
181,813,56
181,814,52
181,815,57
181,817,54
181,818,55
182,819,54
182,820,58
182,821,52
182,821,56
182,822,57
182,823,57
182,824,54
182,825,55
183,826,58
183,827,52
183,827,56
183,828,57
183,829,54
183,830,55
183,831,55
184,832,58
184,833,52
184,833,56
184,834,57
184,835,54
184,836,55
184,837,55
185,838,58
185,839,56
185,840,52
185,841,57
185,842,54
185,843,54
185,844,54
185,845,55
185,846,55
186,499,55
186,847,58
186,848,56
186,849,52
186,850,57
186,851,54
186,852,55
186,853,55
187,854,52
187,854,54
187,854,56
187,855,58
187,856,57
187,857,54
187,858,55
187,859,55
188,860,58
188,861,58
188,862,52
188,862,56
188,863,57
188,864,54
188,865,55
189,632,54
189,866,58
189,867,56
189,868,56
189,869,56
189,870,52
189,871,57
189,872,55
189,873,55
189,874,55
189,875,55
190,633,54
190,795,58
190,870,52
190,870,56
190,876,57
190,877,54
190,878,55
190,879,55
191,880,58
191,881,56
191,882,52
191,883,57
191,884,57
191,885,54
191,886,54
191,887,55
191,888,55
192,889,58
192,890,52
192,890,56
192,891,57
192,892,54
192,893,54
192,894,55
192,895,55
192,896,55
193,777,57
193,897,58
193,898,56
193,899,52
193,899,56
193,900,57
193,901,54
193,902,54
193,903,55
193,904,55
194,800,52
194,800,56
194,802,57
194,905,58
194,906,54
194,907,55
195,908,58
195,909,52
195,909,54
195,909,56
195,910,57
195,911,55
196,912,56
196,913,56
196,914,52
196,915,57
196,916,54
196,917,55
196,918,55
197,919,58
197,920,52
197,920,56
197,921,54
197,922,57
197,923,55
198,332,57
